name,email,ticker1,ticker2,ticker3,status,created_at,terms_accepted_at,privacy_accepted_at
IV Top2,stockdigest.research@gmail.com,TSM,BRK-B,LLY,active,2025-11-28 03:00:55.186475+00:00,2025-11-28 03:00:55.186475+00:00,2025-11-28 03:00:55.186475+00:00
IV Top1,stockdigest.research@gmail.com,GOOGL,MSFT,AVGO,active,2025-11-28 03:00:14.174561+00:00,2025-11-28 03:00:14.174561+00:00,2025-11-28 03:00:14.174561+00:00
IV Telecommunications,stockdigest.research@gmail.com,VZ,LBRDK,SHEN,active,2025-10-22 04:10:25.174179+00:00,2025-10-22 04:10:25.174179+00:00,2025-10-22 04:10:25.174179+00:00
IV Communication Services,stockdigest.research@gmail.com,META,NXST,YELP,active,2025-10-22 04:10:08.760554+00:00,2025-10-22 04:10:08.760554+00:00,2025-10-22 04:10:08.760554+00:00
IV Utilities,stockdigest.research@gmail.com,NEE,AES,NWE,active,2025-10-22 04:09:49.867362+00:00,2025-10-22 04:09:49.867362+00:00,2025-10-22 04:09:49.867362+00:00
IV Real Estate,stockdigest.research@gmail.com,PLD,INVH,ELME,active,2025-10-22 04:09:32.496630+00:00,2025-10-22 04:09:32.496630+00:00,2025-10-22 04:09:32.496630+00:00
IV Materials,stockdigest.research@gmail.com,LIN,CF,NGVT,active,2025-10-22 04:09:13.276036+00:00,2025-10-22 04:09:13.276036+00:00,2025-10-22 04:09:13.276036+00:00
IV Industrials,stockdigest.research@gmail.com,UPS,URI,ATGE,active,2025-10-22 04:08:56.210879+00:00,2025-10-22 04:08:56.210879+00:00,2025-10-22 04:08:56.210879+00:00
IV Energy,stockdigest.research@gmail.com,XOM,DVN,SM,active,2025-10-22 04:08:37.649236+00:00,2025-10-22 04:08:37.649236+00:00,2025-10-22 04:08:37.649236+00:00
IV Consumer Staples,stockdigest.research@gmail.com,WMT,CAG,JJSF,active,2025-10-22 04:08:18.771559+00:00,2025-10-22 04:08:18.771559+00:00,2025-10-22 04:08:18.771559+00:00
IV Consumer Discretionary,stockdigest.research@gmail.com,AMZN,DECK,BOOT,active,2025-10-22 03:48:00.130725+00:00,2025-10-22 03:48:00.130725+00:00,2025-10-22 03:48:00.130725+00:00
IV Healthcare,stockdigest.research@gmail.com,UNH,HOLX,TMDX,active,2025-10-22 03:47:36.657111+00:00,2025-10-22 03:47:36.657111+00:00,2025-10-22 03:47:36.657111+00:00
IV Financials,stockdigest.research@gmail.com,JPM,HBAN,BANF,active,2025-10-22 03:47:14.013578+00:00,2025-10-22 03:47:14.013578+00:00,2025-10-22 03:47:14.013578+00:00
Ilia Verpakhovski3,stockdigest.research@gmail.com,NVDA,TLN,TSLA,active,2025-10-22 01:45:22.758240+00:00,2025-10-22 01:45:22.758240+00:00,2025-10-22 01:45:22.758240+00:00
IV Technology,stockdigest.research@gmail.com,AAPL,PLTR,SMCI,active,2025-10-21 15:04:30.008984+00:00,2025-10-21 15:04:30.008984+00:00,2025-10-21 15:04:30.008984+00:00
Ilia Verpakhovski2,stockdigest.research@gmail.com,CORZ,F,JPM,active,2025-10-14 03:22:26.169175+00:00,2025-10-14 03:22:26.169175+00:00,2025-10-14 03:22:26.169175+00:00
